"","date","location","satellite_grid_lat","satellite_grid_long","vcd_no2"
"251","2019 03 25","Delhi","28.625","77.125","-1.26765060022823e+30"
"252","2019 03 25","Taipei","25.125","121.625","6441645100761088"
"253","2019 03 26","Los Angeles","34.125","-118.125","15246635684593664"
"254","2019 03 26","Delhi","28.625","77.125","6257411404857344"
"255","2019 03 26","Taipei","25.125","121.625","9611879110410240"
"256","2019 03 27","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"257","2019 03 27","Delhi","28.625","77.125","7342662667468800"
"258","2019 03 27","Taipei","25.125","121.625","8965554714968064"
"259","2019 03 28","Los Angeles","34.125","-118.125","8680431700410368"
"260","2019 03 28","Delhi","28.625","77.125","10652007446609920"
"261","2019 03 28","Taipei","25.125","121.625","-1.26765060022823e+30"
"262","2019 03 29","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"263","2019 03 29","Delhi","28.625","77.125","13410511395749888"
"264","2019 03 29","Taipei","25.125","121.625","7885573377228800"
"265","2019 03 30","Los Angeles","34.125","-118.125","7047007856230400"
"266","2019 03 30","Delhi","28.625","77.125","10421146511998976"
"267","2019 03 30","Taipei","25.125","121.625","-1.26765060022823e+30"
"268","2019 03 31","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"269","2019 03 31","Delhi","28.625","77.125","-1.26765060022823e+30"
"270","2019 03 31","Taipei","25.125","121.625","-1.26765060022823e+30"
"271","2019 04 01","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"272","2019 04 01","Delhi","28.625","77.125","-1.26765060022823e+30"
"273","2019 04 01","Taipei","25.125","121.625","4143985505337344"
"274","2019 04 02","Los Angeles","34.125","-118.125","9160165588729856"
"275","2019 04 02","Delhi","28.625","77.125","-1.26765060022823e+30"
"276","2019 04 02","Taipei","25.125","121.625","-1.26765060022823e+30"
"277","2019 04 03","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"278","2019 04 03","Delhi","28.625","77.125","-1.26765060022823e+30"
"279","2019 04 03","Taipei","25.125","121.625","5242254545387520"
"280","2019 04 04","Los Angeles","34.125","-118.125","7767818258874368"
"281","2019 04 04","Delhi","28.625","77.125","10898671713386496"
"282","2019 04 04","Taipei","25.125","121.625","-1.26765060022823e+30"
"283","2019 04 05","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"284","2019 04 05","Delhi","28.625","77.125","15593165457195008"
"285","2019 04 05","Taipei","25.125","121.625","5194328079073280"
"286","2019 04 06","Los Angeles","34.125","-118.125","8159495653949440"
"287","2019 04 06","Delhi","28.625","77.125","11523610929790976"
"288","2019 04 06","Taipei","25.125","121.625","-1.26765060022823e+30"
"289","2019 04 07","Los Angeles","34.125","-118.125","7726720790560768"
"290","2019 04 07","Delhi","28.625","77.125","10557846731096064"
"291","2019 04 07","Taipei","25.125","121.625","6817745723195392"
"292","2019 04 08","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"293","2019 04 08","Delhi","28.625","77.125","-1.26765060022823e+30"
"294","2019 04 08","Taipei","25.125","121.625","7125120963313664"
"295","2019 04 09","Los Angeles","34.125","-118.125","10092334553235456"
"296","2019 04 09","Delhi","28.625","77.125","10594451663618048"
"297","2019 04 09","Taipei","25.125","121.625","7680498352521216"
"298","2019 04 10","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"299","2019 04 10","Delhi","28.625","77.125","-1.26765060022823e+30"
"300","2019 04 10","Taipei","25.125","121.625","10579220635844608"
"301","2019 04 11","Los Angeles","34.125","-118.125","9806808348622848"
"302","2019 04 11","Delhi","28.625","77.125","7453604357079040"
"303","2019 04 11","Taipei","25.125","121.625","9667609532301312"
"304","2019 04 12","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"305","2019 04 12","Delhi","28.625","77.125","8446017754103808"
"306","2019 04 12","Taipei","25.125","121.625","5480338541248512"
"307","2019 04 13","Los Angeles","34.125","-118.125","8776192291241984"
"308","2019 04 13","Delhi","28.625","77.125","7786780539486208"
"309","2019 04 13","Taipei","25.125","121.625","-1.26765060022823e+30"
"310","2019 04 14","Los Angeles","34.125","-118.125","7030504981266432"
"311","2019 04 14","Delhi","28.625","77.125","7739968080314368"
"312","2019 04 14","Taipei","25.125","121.625","6476481043628032"
"313","2019 04 15","Los Angeles","34.125","-118.125","9915462431277056"
"314","2019 04 15","Delhi","28.625","77.125","7691547692761088"
"315","2019 04 15","Taipei","25.125","121.625","-1.26765060022823e+30"
"316","2019 04 16","Los Angeles","34.125","-118.125","9113806785478656"
"317","2019 04 16","Delhi","28.625","77.125","8092668647178240"
"318","2019 04 16","Taipei","25.125","121.625","5359818537697280"
"319","2019 04 17","Los Angeles","34.125","-118.125","10205008725278720"
"320","2019 04 17","Delhi","28.625","77.125","-1.26765060022823e+30"
"321","2019 04 17","Taipei","25.125","121.625","7776859701903360"
"322","2019 04 18","Los Angeles","34.125","-118.125","12682804349370368"
"323","2019 04 18","Delhi","28.625","77.125","9318068987625472"
"324","2019 04 18","Taipei","25.125","121.625","9171228350742528"
"325","2019 04 19","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"326","2019 04 19","Delhi","28.625","77.125","-1.26765060022823e+30"
"327","2019 04 19","Taipei","25.125","121.625","5421775051554816"
"328","2019 04 20","Los Angeles","34.125","-118.125","5966469783355392"
"329","2019 04 20","Delhi","28.625","77.125","11045102180892672"
"330","2019 04 20","Taipei","25.125","121.625","-1.26765060022823e+30"
"331","2019 04 21","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"332","2019 04 21","Delhi","28.625","77.125","9513625291063296"
"333","2019 04 21","Taipei","25.125","121.625","6472084607729664"
"334","2019 04 22","Los Angeles","34.125","-118.125","10274852409704448"
"335","2019 04 22","Delhi","28.625","77.125","11437926332235776"
"336","2019 04 22","Taipei","25.125","121.625","-1.26765060022823e+30"
"337","2019 04 23","Los Angeles","34.125","-118.125","12857306723123200"
"338","2019 04 23","Delhi","28.625","77.125","10047684073226240"
"339","2019 04 23","Taipei","25.125","121.625","6414660358111232"
"340","2019 04 24","Los Angeles","34.125","-118.125","6849261656342528"
"341","2019 04 24","Delhi","28.625","77.125","-1.26765060022823e+30"
"342","2019 04 24","Taipei","25.125","121.625","7962939696873472"
"343","2019 04 25","Los Angeles","34.125","-118.125","11753916739878912"
"344","2019 04 25","Delhi","28.625","77.125","9750644135034880"
"345","2019 04 25","Taipei","25.125","121.625","8131072097255424"
"346","2019 04 26","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"347","2019 04 26","Delhi","28.625","77.125","-1.26765060022823e+30"
"348","2019 04 26","Taipei","25.125","121.625","6675841614348288"
"349","2019 04 27","Los Angeles","34.125","-118.125","6825832609742848"
"350","2019 04 27","Delhi","28.625","77.125","7867361105281024"
"351","2019 04 27","Taipei","25.125","121.625","5462556302901248"
"352","2019 04 28","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"353","2019 04 28","Delhi","28.625","77.125","7029956836065280"
"354","2019 04 28","Taipei","25.125","121.625","4244661417803776"
"355","2019 04 29","Los Angeles","34.125","-118.125","6113509062475776"
"356","2019 04 29","Delhi","28.625","77.125","10012641435058176"
"357","2019 04 29","Taipei","25.125","121.625","-1.26765060022823e+30"
"358","2019 04 30","Los Angeles","34.125","-118.125","7735603856670720"
"359","2019 04 30","Delhi","28.625","77.125","11592215516151808"
"360","2019 04 30","Taipei","25.125","121.625","7675005626220544"
"361","2019 05 01","Los Angeles","34.125","-118.125","9107361113309184"
"362","2019 05 01","Delhi","28.625","77.125","12125393830019072"
"363","2019 05 01","Taipei","25.125","121.625","-1.26765060022823e+30"
"364","2019 05 02","Los Angeles","34.125","-118.125","10484020538245120"
"365","2019 05 02","Delhi","28.625","77.125","9070161327816704"
"366","2019 05 02","Taipei","25.125","121.625","3932570303594496"
"367","2019 05 03","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"368","2019 05 03","Delhi","28.625","77.125","-1.26765060022823e+30"
"369","2019 05 03","Taipei","25.125","121.625","2880926623203328"
"370","2019 05 04","Los Angeles","34.125","-118.125","7404485500469248"
"371","2019 05 04","Delhi","28.625","77.125","-1.26765060022823e+30"
"372","2019 05 04","Taipei","25.125","121.625","-1.26765060022823e+30"
"373","2019 05 05","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"374","2019 05 05","Delhi","28.625","77.125","-1.26765060022823e+30"
"375","2019 05 05","Taipei","25.125","121.625","4281398957441024"
"376","2019 05 06","Los Angeles","34.125","-118.125","6783879369195520"
"377","2019 05 06","Delhi","28.625","77.125","10883967892848640"
"378","2019 05 06","Taipei","25.125","121.625","-1.26765060022823e+30"
"379","2019 05 07","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"380","2019 05 07","Delhi","28.625","77.125","7189359178547200"
"381","2019 05 07","Taipei","25.125","121.625","3513820387475456"
"382","2019 05 08","Los Angeles","34.125","-118.125","5803543420207104"
"383","2019 05 08","Delhi","28.625","77.125","8992110497759232"
"384","2019 05 08","Taipei","25.125","121.625","-1.26765060022823e+30"
"385","2019 05 09","Los Angeles","34.125","-118.125","5387116812959744"
"386","2019 05 09","Delhi","28.625","77.125","7976939679645696"
"387","2019 05 09","Taipei","25.125","121.625","4911069080322048"
"388","2019 05 10","Los Angeles","34.125","-118.125","4599680193265664"
"389","2019 05 10","Delhi","28.625","77.125","-1.26765060022823e+30"
"390","2019 05 10","Taipei","25.125","121.625","4328790968762368"
"391","2019 05 11","Los Angeles","34.125","-118.125","9099053572816896"
"392","2019 05 11","Delhi","28.625","77.125","8003560423817216"
"393","2019 05 11","Taipei","25.125","121.625","5381272973082624"
"394","2019 05 12","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"395","2019 05 12","Delhi","28.625","77.125","-1.26765060022823e+30"
"396","2019 05 12","Taipei","25.125","121.625","4772873675735040"
"397","2019 05 13","Los Angeles","34.125","-118.125","5405470818828288"
"398","2019 05 13","Delhi","28.625","77.125","8996838183010304"
"399","2019 05 13","Taipei","25.125","121.625","6776736838582272"
"400","2019 05 14","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"401","2019 05 14","Delhi","28.625","77.125","9709633639809024"
"402","2019 05 14","Taipei","25.125","121.625","4444282102480896"
"403","2019 05 15","Los Angeles","34.125","-118.125","6382689695301632"
"404","2019 05 15","Delhi","28.625","77.125","8492248782077952"
"405","2019 05 15","Taipei","25.125","121.625","-1.26765060022823e+30"
"406","2019 05 16","Los Angeles","34.125","-118.125","7575692023693312"
"407","2019 05 16","Delhi","28.625","77.125","8685346216738816"
"408","2019 05 16","Taipei","25.125","121.625","3251195753791488"
"409","2019 05 17","Los Angeles","34.125","-118.125","7718200649187328"
"410","2019 05 17","Delhi","28.625","77.125","9298608490807296"
